winner,cluster,mod,lobby,r_1,r_2,r_3,r_4,r_5,d_1,d_2,d_3,d_4,d_5
-1,151,2,2,8,14,48,93,97,25,32,44,60,74
-1,153,9,2,13,29,59,91,93,15,16,34,35,44
1,156,2,3,2,9,28,34,59,6,8,74,87,103
1,151,8,2,8,43,50,56,80,3,14,19,62,104
1,151,2,2,54,73,81,87,94,1,2,25,31,107
1,136,2,2,9,26,93,97,98,10,22,36,88,99
1,223,2,2,41,56,75,110,112,9,29,44,74,88
-1,227,8,3,21,44,90,98,102,6,29,47,58,68
1,231,2,2,23,32,44,74,93,9,21,98,99,106
1,152,2,3,2,48,58,73,84,5,35,95,98,104
-1,151,2,2,33,49,70,75,103,1,36,68,99,102
-1,224,9,2,13,21,33,65,94,7,55,73,81,84
-1,155,9,2,1,11,22,46,59,18,25,32,57,58
-1,123,2,2,3,17,30,70,101,5,25,32,42,57
1,151,2,2,6,18,27,44,99,50,59,62,74,95
1,225,2,3,12,14,54,68,93,9,10,16,32,72
-1,156,2,2,1,17,82,97,104,4,21,40,54,74
-1,132,2,3,2,8,36,58,59,19,44,63,73,112
1,152,9,2,36,46,71,94,99,15,42,44,49,98
1,224,8,3,6,59,84,88,98,8,9,49,50,65
-1,154,2,3,26,53,54,71,74,2,8,30,58,106
1,191,2,3,9,21,56,93,105,6,28,36,55,104
1,152,2,3,1,4,30,41,93,5,21,35,59,94
-1,227,8,2,28,47,67,84,103,2,48,65,79,94
1,223,2,3,2,6,11,71,75,7,14,35,42,58
-1,156,9,2,10,22,30,49,59,21,29,60,73,82
-1,154,2,2,4,16,21,58,74,32,44,68,99,104
1,187,2,3,11,32,42,64,95,21,38,51,57,104
1,153,2,2,4,9,20,80,96,44,50,53,59,79
-1,154,2,3,7,34,84,93,96,18,30,32,50,74
1,112,2,2,2,17,41,44,83,12,14,42,68,103
-1,204,2,3,6,14,19,26,70,10,31,33,42,98
1,155,2,3,2,6,8,26,100,9,18,35,42,74
-1,131,2,3,18,32,74,75,104,36,63,64,94,98
1,152,2,2,2,6,21,41,53,4,13,36,44,83
1,138,2,2,2,36,44,73,109,1,14,62,74,87
-1,136,2,3,2,23,28,62,73,18,25,32,33,39
-1,121,2,3,18,33,73,74,97,2,8,14,43,86
1,153,2,3,8,11,33,74,94,2,39,40,59,86
1,152,2,2,6,19,26,42,84,8,14,62,69,109
1,156,9,2,3,8,10,31,68,7,15,41,76,82
-1,224,2,3,14,25,32,36,54,8,9,17,69,112
-1,223,2,3,4,6,41,50,94,2,8,11,62,80
1,155,2,2,18,23,76,87,101,6,9,14,62,112
1,151,2,2,6,14,18,50,73,36,44,49,95,104
-1,156,2,3,6,9,42,74,81,2,34,48,50,93
1,151,2,3,5,41,74,94,100,7,12,31,62,82
-1,156,2,2,18,22,28,86,98,1,9,14,57,78
-1,153,2,2,1,6,18,34,42,17,31,41,95,104
1,154,2,3,9,26,36,49,104,8,14,32,74,109
1,227,2,2,21,22,23,70,104,8,19,45,48,79
1,134,2,3,4,7,17,32,36,9,12,21,41,92
-1,151,2,2,7,14,18,39,57,4,5,17,33,47
-1,153,2,3,1,14,16,44,90,2,6,37,48,59
1,232,2,2,26,36,42,47,85,16,40,41,74,84
-1,188,2,2,7,17,42,57,90,5,9,70,74,98
1,154,2,3,17,26,36,54,96,2,9,41,62,98
-1,154,2,3,11,20,84,98,106,14,56,86,94,104
-1,132,8,3,8,34,83,95,98,16,36,73,94,99
-1,154,9,2,4,51,60,73,81,1,44,56,70,113
1,152,2,2,6,49,53,73,93,4,9,11,14,54
1,123,2,3,17,18,32,45,60,68,71,74,93,104
1,153,2,3,32,35,36,67,84,6,46,71,74,79
-1,155,2,3,14,44,54,64,93,41,43,48,75,96
1,155,2,3,7,9,18,20,99,29,39,54,57,73
1,156,2,2,14,27,32,34,54,2,8,56,73,74
-1,111,2,3,6,9,32,41,101,8,14,16,55,102
1,154,9,2,27,32,87,93,101,4,21,59,85,103
-1,227,2,2,2,28,59,104,106,7,27,54,75,98
1,152,2,2,6,42,57,100,104,11,13,67,72,97
1,151,9,2,44,73,96,104,106,17,22,40,41,93
1,151,2,3,9,11,18,86,104,8,20,54,71,75
1,152,2,2,1,10,17,19,40,5,21,35,94,104
-1,145,2,2,14,35,42,95,101,17,32,44,63,84
-1,155,9,2,18,25,63,71,73,7,10,94,98,99
-1,152,2,2,16,21,60,74,83,1,12,23,29,64
1,231,2,2,9,42,45,83,104,2,32,44,62,74
-1,223,2,2,30,44,48,72,110,8,23,27,84,95
-1,227,8,2,2,34,50,67,85,9,29,88,93,98
-1,122,2,3,2,6,20,44,84,9,54,65,93,98
1,155,1,2,30,51,52,65,89,19,25,34,36,99
1,224,2,3,2,42,44,53,68,14,18,50,59,98
-1,224,8,3,6,21,28,85,103,10,16,33,43,44
1,156,2,2,4,11,35,44,109,8,14,25,27,77
-1,223,2,2,8,44,84,86,97,2,19,33,35,42
1,156,2,3,1,9,10,14,44,35,42,86,104,107
-1,187,2,3,7,14,94,95,98,41,57,75,81,86
-1,227,2,2,14,45,59,72,106,35,40,76,84,98
1,123,2,3,1,14,55,64,102,2,35,42,50,83
1,154,2,3,1,2,27,31,34,9,28,44,82,86
1,111,2,2,9,37,46,75,106,4,6,50,56,74
1,153,2,2,22,29,64,76,94,14,35,74,81,105
-1,154,2,2,6,8,23,44,79,3,9,17,18,46
1,151,2,2,16,36,60,74,77,28,35,89,98,99
1,135,2,2,14,41,69,98,106,34,60,93,102,104
-1,224,2,3,6,26,74,89,93,17,19,41,42,62
1,225,2,2,9,17,18,42,96,7,21,44,54,88
1,154,9,2,4,32,33,45,88,16,40,48,50,94
1,155,2,2,9,12,18,47,48,2,7,11,14,104
1,144,2,2,7,9,34,44,72,1,17,26,32,54
1,187,1,2,36,39,64,76,83,19,25,47,48,78
-1,123,2,3,5,10,57,65,98,14,16,26,27,37
-1,155,2,3,14,21,74,90,93,2,8,39,83,94
-1,153,2,3,2,9,26,44,74,6,18,21,22,56
-1,184,2,3,16,23,26,44,90,4,10,22,53,106
-1,187,2,2,17,19,32,73,87,21,35,45,56,95
-1,155,9,2,5,15,45,47,104,8,9,11,36,62
1,225,2,3,4,49,59,64,74,8,9,29,30,110
1,223,6,2,26,38,44,53,104,16,58,61,88,105
-1,225,2,3,12,14,32,40,73,7,9,88,94,104
1,223,2,2,32,47,54,104,106,2,12,29,75,101
-1,152,2,3,2,18,92,98,104,8,9,41,74,101
1,227,2,2,49,52,86,93,104,9,17,26,41,74
1,154,9,2,18,20,44,63,67,19,33,47,49,51
1,155,9,2,10,28,32,40,57,12,60,63,70,94
1,152,2,3,7,8,28,30,60,9,48,68,74,81
-1,184,2,3,2,41,74,86,104,5,16,47,70,84
1,224,2,3,9,21,29,36,85,7,17,32,59,81
1,156,2,2,1,14,32,75,105,9,34,41,104,107
-1,224,2,3,7,12,49,75,87,37,70,93,97,106
1,111,2,3,2,31,32,41,102,6,35,50,91,106
-1,225,8,3,6,28,41,74,103,9,10,60,71,79
-1,133,2,3,32,39,98,104,111,42,90,97,99,103
1,154,2,3,6,9,37,63,74,1,26,34,41,44
-1,152,2,2,9,10,14,22,32,2,4,6,42,73
1,152,2,3,8,14,30,32,86,6,9,19,69,74
1,121,2,3,15,23,70,103,104,9,34,41,54,93
1,184,2,2,1,9,14,28,88,74,75,81,86,99
-1,224,9,2,12,33,60,93,102,6,15,17,48,104
-1,124,3,2,19,29,38,72,105,3,71,87,94,95
-1,154,2,3,5,18,21,49,70,1,2,8,26,73
1,185,2,2,22,29,33,58,110,1,4,16,85,91
1,151,2,3,6,12,20,93,104,29,32,41,65,74
-1,227,2,3,1,9,36,44,75,14,48,71,81,94
1,224,9,2,6,7,36,40,93,39,47,53,81,99
-1,227,8,3,7,8,36,62,68,35,65,73,74,88
1,155,2,2,4,14,44,47,48,2,18,74,95,100
1,132,2,3,9,20,38,44,106,16,57,74,93,111
-1,156,2,2,9,44,71,99,104,20,68,74,77,84
1,182,2,3,8,20,54,87,104,2,30,35,44,62
1,261,2,3,7,17,26,59,98,25,44,58,74,86
-1,155,9,2,29,40,68,93,110,10,37,47,48,80
-1,154,9,2,4,6,44,47,96,2,12,14,17,37
1,138,2,2,42,44,76,96,98,8,29,34,53,59
1,156,2,2,9,44,71,77,82,1,27,31,66,98
1,182,2,2,9,14,54,68,75,12,30,72,97,104
1,188,2,2,22,49,70,74,104,2,9,26,48,62
1,192,2,3,48,61,62,79,98,74,81,103,104,112
-1,132,2,2,19,36,44,63,93,31,41,73,101,106
-1,123,2,3,21,44,63,64,99,6,19,26,29,93
-1,188,2,2,14,22,44,85,104,6,32,35,59,71
-1,155,9,2,35,76,80,98,106,7,19,44,47,87
-1,155,9,2,4,14,17,89,93,12,65,97,100,101
-1,224,2,2,12,17,71,79,104,1,9,62,74,98
1,232,2,2,2,7,21,44,46,23,47,57,79,93
-1,154,2,3,1,25,26,65,90,6,34,86,98,107
1,151,2,2,9,14,42,72,73,6,16,34,35,94
1,161,2,3,10,27,35,44,94,7,8,21,64,104
1,231,9,2,36,41,44,101,106,2,40,85,88,94
1,145,2,3,9,19,26,104,112,27,28,60,72,73
1,155,2,3,35,42,62,67,90,6,7,14,41,99
1,213,2,2,36,53,59,74,93,16,44,68,71,104
-1,188,2,2,17,41,46,54,84,16,44,50,53,63
1,191,2,2,5,7,14,71,73,44,93,103,106,107
-1,181,2,2,6,8,14,21,87,47,59,91,99,104
-1,225,2,2,4,11,12,23,104,28,29,96,99,106
1,187,2,2,2,14,28,73,88,32,56,62,74,97
-1,231,8,2,44,47,54,75,104,2,11,16,70,98
1,152,2,3,5,25,32,42,93,14,28,74,84,104
1,227,2,3,9,23,41,44,60,43,54,71,83,90
1,132,2,2,23,34,41,84,87,13,17,21,74,91
1,151,9,2,15,39,40,85,96,22,57,67,88,99
-1,154,2,2,19,25,33,44,113,8,9,39,98,105
1,152,2,2,5,62,74,88,96,9,35,52,80,90
-1,154,2,2,9,11,23,67,112,54,72,75,89,98
-1,151,9,2,1,34,71,77,104,14,20,23,28,44
1,224,2,3,2,9,36,53,54,42,44,45,62,63
-1,204,2,2,18,36,44,53,62,25,32,33,34,73
1,123,2,2,1,35,39,57,96,32,69,74,90,97
1,156,2,3,9,21,35,84,93,14,26,44,49,71
-1,156,2,3,21,41,54,62,73,9,32,44,103,104
1,156,2,3,9,13,18,99,104,22,39,59,67,80
-1,224,2,2,10,13,46,88,103,41,45,49,59,84
-1,154,2,2,8,13,14,18,53,17,42,46,49,62
-1,227,8,3,6,21,94,104,113,17,29,56,67,105
1,152,9,2,15,32,44,45,103,8,10,46,59,74
1,227,2,2,8,14,42,45,75,23,32,69,90,112
-1,151,2,2,22,28,35,70,89,9,10,50,62,104
1,155,2,3,6,28,34,84,86,4,16,21,26,44
-1,181,2,3,2,10,41,87,98,31,44,75,93,104
1,231,2,3,9,10,40,44,84,14,30,41,43,48
-1,156,2,3,17,26,44,56,103,10,20,28,62,109
1,225,8,3,1,16,41,76,101,8,30,32,69,73
-1,224,2,3,9,22,55,79,93,28,44,62,74,75
1,132,2,2,7,14,16,44,46,8,17,61,66,86
-1,152,2,2,6,22,23,74,90,9,10,93,98,105
-1,227,2,2,8,34,39,59,111,23,44,57,74,88
1,155,2,3,1,9,73,84,104,8,29,68,93,98
1,224,2,2,4,35,36,63,98,8,9,53,86,104
1,185,2,2,42,56,76,86,98,1,34,70,74,85
-1,183,2,3,4,40,41,56,104,16,17,32,44,110
1,153,9,2,9,16,18,27,54,1,45,48,73,101
1,134,2,3,12,23,26,33,41,8,31,53,56,112
1,185,2,2,6,32,59,60,104,9,17,28,36,68
-1,227,2,2,7,10,14,19,53,8,62,68,74,84
1,154,2,2,1,6,7,15,95,14,17,59,99,102
-1,155,2,2,1,12,21,44,104,6,14,70,93,105
-1,124,2,3,6,26,33,44,74,5,10,11,16,55
1,151,2,2,6,28,53,68,82,7,9,11,29,37
-1,153,2,3,2,6,23,65,82,7,28,87,93,106
1,153,2,3,4,9,11,16,96,5,14,41,54,104
1,156,2,2,2,19,23,57,59,1,22,35,44,53
1,227,8,3,4,8,9,14,75,1,32,34,39,80
1,227,8,3,2,9,17,67,90,18,71,74,88,98
1,153,2,3,6,20,47,75,84,9,10,21,28,32
1,152,2,3,6,14,18,28,29,5,9,60,63,99
1,184,2,3,26,41,45,49,57,5,8,17,53,89
-1,151,2,3,2,54,59,75,106,23,31,36,93,104
1,171,2,3,5,44,71,84,94,23,48,55,106,112
-1,151,2,3,2,22,23,32,39,6,14,35,41,104
1,261,9,2,6,21,33,40,98,2,14,29,50,106
-1,224,8,3,26,39,50,59,109,6,9,16,36,38
-1,151,2,3,9,29,79,103,109,2,10,34,58,62
1,155,2,2,17,44,62,63,71,1,8,73,80,104
-1,154,2,3,18,27,36,73,104,10,32,79,97,106
1,155,2,2,9,26,43,56,93,14,18,35,75,86
1,261,9,2,40,41,47,50,59,2,10,28,63,85
1,225,2,3,9,17,36,54,93,30,41,49,67,100
1,227,2,2,14,17,44,90,93,9,41,52,62,88
-1,112,2,3,19,23,34,41,79,30,43,54,88,95
-1,161,2,2,3,26,68,69,97,20,38,48,77,102
-1,156,9,2,14,51,64,76,95,30,43,71,81,112
-1,153,9,2,6,30,43,70,71,20,28,42,59,60
1,153,2,3,14,39,62,65,106,1,30,41,73,84
-1,156,2,2,9,11,35,47,73,1,6,8,44,48
-1,224,2,3,9,50,59,62,81,2,12,28,40,68
1,231,2,2,8,11,21,32,71,2,42,65,74,104
1,155,9,2,57,60,67,99,102,28,35,41,49,62
-1,155,2,3,18,22,51,99,101,11,14,27,81,98
-1,155,9,2,29,43,54,57,80,10,13,63,67,104
1,111,2,2,17,26,67,75,99,9,11,28,30,101
1,224,8,3,9,10,26,41,96,3,23,36,60,67
1,185,2,2,6,13,33,93,98,11,35,65,76,97
1,204,2,3,8,27,39,99,107,14,19,22,57,74
1,187,2,2,20,21,35,93,104,41,44,45,57,62
1,151,2,3,8,33,55,62,94,36,63,69,84,104
-1,184,9,2,12,16,18,36,62,35,46,71,85,95
1,227,8,3,8,22,48,71,112,9,18,19,41,90
-1,154,9,2,17,61,74,79,104,23,36,93,94,97
1,121,2,2,26,28,39,54,86,41,42,51,74,104
-1,151,9,2,9,12,48,60,100,28,32,37,44,46
-1,192,2,2,9,18,25,39,110,8,10,44,54,98
-1,152,2,3,14,19,70,104,107,7,20,22,74,93
1,153,2,2,2,13,32,41,54,6,9,44,59,74
1,151,2,3,14,28,32,36,98,8,35,44,73,96
-1,154,2,3,18,36,76,99,104,9,48,54,70,110
1,151,2,3,8,9,14,16,32,10,23,28,35,74
1,231,8,2,5,14,57,68,109,33,43,93,98,104
-1,155,2,2,28,44,47,74,101,4,6,18,32,70
-1,132,9,2,17,21,41,49,77,8,31,69,98,109
1,155,2,2,1,11,20,29,97,2,9,17,48,54
1,156,2,3,8,14,72,103,111,19,30,34,41,63
1,223,2,3,30,42,49,70,104,9,18,19,22,71
-1,227,8,3,35,41,79,96,98,2,8,26,73,93
1,225,2,2,1,30,35,96,98,49,51,68,74,77
1,183,2,3,1,2,11,50,110,34,35,85,87,94
1,155,2,2,14,49,55,59,60,8,46,64,66,74
1,191,2,3,9,13,17,44,57,14,34,86,93,97
1,191,2,3,2,5,11,16,33,20,37,56,74,99
-1,153,2,2,12,22,23,63,79,32,41,46,84,97
1,136,2,3,6,9,34,35,39,4,14,17,73,94
1,151,2,3,14,18,31,54,97,9,19,36,74,82
1,121,2,3,12,30,42,84,110,16,18,39,62,104
1,151,2,2,8,21,32,35,99,2,4,14,44,93
1,152,2,3,7,15,19,32,95,10,12,44,97,104
1,156,2,3,9,36,62,97,98,2,74,75,96,99
1,182,9,2,39,44,80,99,110,16,31,81,85,106
1,155,2,2,6,18,47,50,73,4,49,51,84,113
-1,224,2,2,9,19,21,28,44,8,35,42,57,86
-1,151,2,3,14,28,30,55,98,9,34,67,90,96
-1,185,2,3,1,9,68,71,75,10,29,33,70,87
1,231,2,3,14,19,69,73,93,8,9,16,68,98
1,156,2,3,2,5,20,41,94,8,9,17,27,53
1,224,2,2,9,17,38,41,76,11,28,37,62,74
-1,136,2,3,65,74,84,93,107,2,44,47,52,57
1,153,2,2,5,6,44,91,93,8,12,37,59,64
1,187,2,2,14,34,44,50,86,25,26,88,105,107
1,204,2,3,44,54,57,99,104,7,10,26,97,107
-1,153,2,3,2,6,26,39,48,67,68,82,90,98
1,151,2,2,5,34,41,93,107,10,30,35,44,104
1,111,2,3,32,67,73,84,92,4,49,89,104,106
1,188,2,3,9,17,29,93,112,5,8,81,85,98
1,185,2,2,62,86,88,93,104,1,8,44,54,74
-1,184,9,2,22,28,54,93,98,1,29,42,57,71
1,111,2,2,69,73,83,86,105,5,22,30,44,98
-1,137,2,2,2,22,70,74,98,4,8,16,44,86
1,135,3,2,2,20,90,102,111,9,12,46,58,75
1,227,2,2,9,17,32,56,86,27,41,50,67,74
-1,154,2,2,32,35,59,73,104,6,12,14,44,75
-1,204,9,2,38,53,61,63,78,7,9,13,50,70
1,225,8,3,10,30,40,41,69,9,68,74,93,98
-1,261,9,2,19,40,41,73,104,2,3,43,61,109
1,204,2,3,3,13,23,44,75,11,33,87,88,93
1,155,2,2,9,17,30,59,67,14,19,34,55,74
1,187,2,3,16,21,36,44,99,14,30,42,77,98
1,144,9,2,14,42,70,77,100,17,35,44,62,93
-1,225,2,2,6,9,31,39,55,7,56,62,64,67
-1,161,2,2,23,32,35,44,71,6,42,59,64,102
1,134,8,3,8,19,57,74,94,16,47,71,80,104
-1,223,2,2,8,9,49,51,104,10,14,35,67,100
1,231,2,3,1,7,21,40,98,12,17,27,42,93
1,153,2,2,8,14,21,50,99,4,5,6,16,104
-1,224,8,3,21,40,49,62,93,2,9,37,42,47
-1,133,9,2,1,14,47,69,77,6,9,84,93,99
1,181,8,3,2,8,20,21,68,6,14,16,36,59
1,138,2,3,32,33,39,67,93,4,8,18,55,74
-1,152,2,2,2,54,56,59,70,36,40,81,93,105
1,154,2,2,5,14,21,62,93,11,28,32,54,63
-1,135,2,3,5,25,26,44,73,14,34,41,58,84
-1,225,8,3,43,73,88,93,103,1,9,22,41,90
1,152,2,2,9,16,35,44,54,1,6,15,67,79
-1,223,8,3,1,7,34,68,104,8,9,63,74,87
1,223,2,3,1,9,35,84,103,74,94,95,104,105
-1,153,2,3,39,54,71,84,90,35,37,44,96,104
1,155,2,3,5,7,10,42,73,12,14,17,57,84
-1,227,2,3,8,35,74,104,112,18,32,57,73,94
-1,227,2,2,9,14,27,39,85,2,7,67,93,103
1,204,9,2,27,39,44,61,72,4,18,26,52,56
1,227,2,2,5,59,60,81,93,2,25,37,47,87
1,155,9,2,8,11,23,36,53,10,21,32,86,97
-1,223,2,2,10,29,54,70,84,9,11,62,85,98
1,182,2,2,8,9,14,27,51,4,68,74,93,113
1,231,8,3,9,16,30,70,103,7,37,55,63,98
1,224,8,3,2,12,14,59,75,6,19,39,40,98
1,153,2,2,41,42,48,79,100,3,14,22,85,88
-1,232,2,2,2,35,41,89,93,1,47,71,99,110
1,181,2,2,14,58,62,71,76,6,7,21,36,63
-1,155,2,3,15,23,26,70,99,18,50,62,71,93
1,135,2,3,2,7,14,93,97,1,5,10,26,74
1,227,2,3,9,15,28,44,94,1,2,21,54,89
1,223,2,3,6,9,27,35,41,10,14,25,32,94
-1,152,2,2,5,8,21,28,60,13,33,54,84,104
-1,152,2,2,4,26,49,86,98,1,7,8,44,47
-1,154,2,2,1,2,14,58,70,16,18,35,49,62
1,227,2,2,9,25,32,67,74,2,6,59,86,106
1,138,2,3,11,18,35,56,112,8,9,23,68,85
1,154,2,3,6,9,18,26,103,34,44,54,71,93
-1,133,2,2,2,21,22,74,93,7,14,54,98,106
1,232,2,2,9,35,42,90,100,12,56,62,64,76
1,182,2,2,28,48,57,85,106,11,44,97,98,104
1,251,9,2,6,50,66,93,100,16,53,83,94,112
-1,223,2,3,8,9,25,51,93,32,57,58,67,106
-1,192,2,2,6,8,19,21,32,11,14,37,62,104
1,231,2,2,18,40,44,101,104,1,6,22,43,55
-1,153,2,2,6,11,18,21,104,4,26,80,81,95
1,204,2,2,1,34,35,40,57,4,9,23,25,26
-1,152,2,2,6,11,44,93,104,27,60,75,99,109
1,155,9,2,9,45,69,84,102,39,57,73,95,104
-1,224,2,2,2,9,40,71,78,28,42,90,94,102
-1,154,2,3,14,23,25,35,53,13,18,49,60,112
1,155,2,2,8,9,10,29,103,5,14,44,63,71
1,224,2,2,9,36,41,62,93,8,74,84,87,96
-1,112,8,3,41,47,62,87,106,12,69,94,103,105
1,225,8,2,2,5,11,41,81,13,18,73,98,104
-1,153,2,3,14,20,74,98,104,6,68,78,84,95
1,204,2,3,3,9,13,34,59,33,37,44,74,97
-1,154,2,3,14,18,34,53,104,8,22,27,74,88
-1,154,9,2,31,32,46,58,71,12,22,40,54,99
1,152,2,2,30,35,44,64,74,47,55,68,93,104
1,111,2,3,1,9,11,26,68,7,17,67,70,94
-1,227,2,3,21,44,71,88,90,35,41,59,92,104
1,186,9,2,9,33,52,70,78,1,20,48,85,98
1,154,2,2,21,71,74,86,104,1,14,32,36,93
1,153,2,2,18,41,42,47,50,14,21,54,56,74
1,227,8,2,9,28,39,42,62,6,16,21,23,79
-1,152,2,3,6,8,14,58,81,7,35,49,54,101
1,232,8,2,10,28,35,74,88,9,22,32,67,98
-1,227,2,2,13,40,42,44,94,2,8,9,17,18
1,137,2,2,18,55,57,74,105,9,29,68,84,104
1,223,2,2,6,9,32,48,70,1,5,29,40,74
-1,153,2,3,1,14,15,20,103,5,6,9,22,63
1,227,8,2,6,14,29,39,72,7,8,25,65,106
1,151,2,2,35,36,38,47,74,21,50,66,77,103
-1,155,2,3,4,6,22,50,72,63,71,82,84,104
-1,231,2,2,1,3,42,51,103,14,21,32,44,75
1,137,2,2,2,8,88,94,105,14,42,46,62,106
1,224,8,3,4,9,17,26,41,21,22,28,60,93
-1,224,2,2,2,39,42,67,93,18,22,62,98,99
-1,136,2,2,11,35,44,57,62,14,20,32,88,104
1,224,2,2,2,12,21,63,105,4,6,30,58,113
-1,224,2,2,6,17,40,96,104,2,21,32,35,57
1,153,2,2,18,32,35,54,59,8,11,44,81,106
1,155,2,2,6,9,26,90,104,4,10,36,42,110
-1,182,2,2,38,39,47,96,99,2,9,17,30,71
-1,232,8,3,9,28,48,74,103,14,23,56,93,95
1,224,8,2,11,14,21,25,44,7,35,55,57,109
1,223,2,2,2,35,57,71,104,43,53,63,85,100
-1,152,2,2,6,7,28,59,82,1,2,35,44,90
1,154,2,2,41,48,56,63,104,8,9,27,44,54
1,231,2,2,21,65,96,99,104,14,37,44,88,93
1,186,9,2,21,28,44,56,101,1,10,41,43,71
-1,187,2,3,1,8,14,39,87,21,38,74,98,104
-1,152,2,2,13,44,54,76,90,1,4,9,41,71
1,153,9,2,5,28,41,88,93,29,30,48,107,113
-1,232,9,2,1,14,67,81,104,27,35,47,98,99
1,151,2,3,37,44,53,97,103,9,14,63,79,106
-1,153,9,2,9,26,34,41,93,4,48,64,67,81
1,155,2,3,4,21,27,84,104,1,32,63,64,73
-1,121,2,2,1,29,91,98,101,9,18,39,73,86
-1,155,2,3,30,67,84,93,109,4,9,44,57,74
-1,184,9,2,23,26,41,73,79,8,14,84,93,105
1,151,9,2,3,12,16,28,63,14,34,60,70,85
-1,187,9,2,23,34,44,50,94,28,35,48,57,88
-1,153,2,2,30,32,41,44,104,42,48,54,66,98
-1,155,2,2,14,21,41,83,98,1,8,17,74,104
1,123,2,3,17,18,88,90,102,86,93,97,98,100
-1,153,9,2,1,28,51,59,67,6,34,35,70,94
1,154,2,2,2,9,56,59,97,14,16,17,93,98
-1,224,8,2,6,16,42,46,85,8,38,45,74,78
-1,154,2,2,8,44,95,98,109,7,18,22,35,71
1,182,2,2,32,44,73,80,97,14,27,28,86,104
-1,223,2,2,1,4,64,98,112,9,11,16,17,21
1,191,2,3,22,27,41,74,88,4,29,35,62,71
1,156,9,2,2,20,32,51,56,9,41,86,93,96
1,223,2,2,41,74,82,88,93,9,42,62,70,97
1,154,6,3,4,5,8,18,44,53,71,86,98,104
1,153,2,3,4,9,32,71,98,7,35,62,67,104
1,124,2,2,31,49,59,73,90,17,42,65,82,98
1,121,9,2,16,20,32,89,97,28,43,73,94,103
1,185,2,3,18,50,57,76,97,10,14,16,34,36
1,124,2,3,14,20,63,73,104,17,18,23,97,111
1,151,2,2,4,44,57,59,68,2,8,13,42,73
-1,171,2,2,16,17,69,93,104,41,56,74,88,91
-1,151,2,2,11,21,26,33,44,4,6,8,70,93
-1,111,2,2,14,15,59,72,87,9,16,68,97,98
-1,227,8,3,23,32,74,87,94,6,17,26,40,101
-1,224,8,3,8,51,60,70,110,11,32,39,54,104
1,156,2,3,6,9,20,41,98,13,44,50,54,59
1,227,8,2,7,8,16,32,67,2,26,76,93,98
1,191,2,2,2,28,32,104,109,6,11,53,71,91
-1,134,2,2,9,21,74,84,89,13,44,54,59,94
1,154,2,2,3,35,44,49,104,2,14,19,34,59
-1,132,2,3,2,9,14,50,104,4,23,57,70,98
1,181,2,3,1,16,30,46,54,2,14,87,93,102
1,152,2,3,9,14,16,33,94,1,5,70,104,109
-1,155,2,3,14,59,81,98,105,6,9,20,21,41
-1,154,2,3,9,27,29,65,104,6,20,30,34,41
-1,224,8,3,6,11,84,88,110,2,23,54,59,62
1,231,2,2,8,22,28,64,88,29,42,50,73,104
-1,171,2,3,44,59,103,104,112,14,35,68,69,98
1,156,2,3,2,27,50,54,82,6,7,39,41,111
-1,227,8,3,1,11,32,87,103,8,9,34,83,93
-1,224,2,3,14,16,93,98,104,4,21,44,84,103
1,153,2,2,9,16,26,85,89,2,10,17,86,107
1,152,2,3,9,28,39,44,104,14,17,31,47,49
-1,225,9,2,15,19,28,44,67,20,36,77,93,102
-1,135,2,2,22,32,44,53,73,3,6,57,89,104
1,151,2,2,1,44,74,97,105,8,14,21,99,106
1,156,2,3,8,21,74,93,112,9,67,78,98,109
1,124,2,3,1,4,14,23,35,38,42,44,45,46
-1,224,8,3,18,25,41,51,56,28,48,63,73,87
1,154,2,2,1,9,74,98,107,7,33,44,73,97
-1,188,2,2,14,18,44,74,75,35,42,59,63,98
1,145,2,2,34,57,60,81,104,11,14,58,77,93
-1,155,2,2,1,18,34,44,98,21,32,41,93,95
1,232,2,3,2,8,14,36,53,10,82,84,105,106
1,224,2,2,1,4,21,57,111,10,41,54,86,104
-1,225,9,2,8,9,40,53,93,10,41,54,68,87
-1,151,2,2,5,8,17,59,91,11,49,73,97,111
1,156,2,2,44,46,63,68,99,18,22,74,111,113
-1,224,2,2,9,16,32,74,93,2,41,55,76,101
1,224,2,3,2,9,17,94,104,11,12,32,75,98
1,155,9,2,6,11,12,57,70,1,9,19,46,98
-1,151,2,2,9,44,74,98,104,7,14,18,25,63
-1,171,2,2,2,42,75,91,99,16,25,35,88,110
-1,231,2,2,6,26,32,46,60,9,14,42,79,100
1,151,2,2,8,36,62,87,97,9,10,17,32,107
-1,151,2,2,18,52,63,101,103,47,84,93,94,99
1,231,2,2,8,11,14,88,93,2,5,9,31,41
1,153,2,3,7,26,32,44,93,8,35,54,59,104
-1,224,2,3,19,23,44,92,93,12,26,34,85,103
-1,156,2,2,14,70,79,99,104,44,59,74,84,97
1,153,2,2,6,32,41,50,73,7,8,44,47,58
1,227,2,3,9,10,14,16,58,41,46,86,93,103
1,151,2,3,9,26,60,63,111,6,20,74,86,100
-1,156,2,3,18,23,32,36,54,28,35,38,44,110
-1,204,2,2,18,34,76,98,109,35,54,71,74,84
1,185,2,3,4,14,39,53,83,19,20,56,73,105
1,224,2,2,17,37,57,69,94,8,14,74,96,101
-1,231,2,3,14,21,67,68,86,29,32,44,93,104
